	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
21	nf_core_mag_short	MEGAHIT-MetaBAT2-SRR8359173_2	bacteria_odb10	59.7	58.9	0.8	12.9	27.4	124	6204	6204	0.00%	1065	87.09	2.32	Neural Network (Specific Model)	11	0.897	6204	277.3585875899897	5401788	0.67	5834	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	GCF_002601815.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	99.97	0.998							ani_screen	classification based on ANI only	"GCF_018398425.1, s__Pseudomonas_E lalucatii, 95.0, 84.24, 0.154; GCF_009189165.1, s__Pseudomonas sp009189165, 95.0, 85.21, 0.204; GCF_002091755.1, s__Pseudomonas nitroreducens, 95.0, 85.4, 0.203; GCF_902506505.1, s__Pseudomonas_E sp902506505, 95.0, 84.26, 0.158; GCF_000955805.1, s__Pseudomonas sp000955805, 95.0, 85.44, 0.22; GCF_900099785.1, s__Pseudomonas panipatensis, 95.0, 85.68, 0.204; GCF_029335315.1, s__Pseudomonas citronellolis_A, 95.0, 86.28, 0.255; GCF_900187975.1, s__Pseudomonas delhiensis, 95.0, 86.41, 0.263; GCF_012767755.2, s__Pseudomonas_F tohonis, 95.0, 84.76, 0.175; GCF_000689415.1, s__Pseudomonas knackmussii, 95.0, 85.57, 0.219; GCF_024170165.1, s__Pseudomonas nitroreducens_C, 95.0, 85.59, 0.219; GCF_000412695.1, s__Pseudomonas_F resinovorans_A, 95.0, 84.44, 0.154; GCF_026686735.1, s__Pseudomonas sp024259745, 95.0, 84.61, 0.18; GCF_000349845.1, s__Pseudomonas sp000349845, 95.0, 85.6, 0.221; GCF_025133575.1, s__Pseudomonas nitroreducens_B, 95.0, 85.38, 0.215; GCF_014852585.1, s__Pseudomonas sp014852585, 95.0, 85.45, 0.193; GCF_030462585.1, s__Pseudomonas sp030462585, 95.0, 85.55, 0.224; GCF_001457615.1, s__Pseudomonas aeruginosa, 95.0, 93.68, 0.825; GCF_005877905.1, s__Pseudomonas nicosulfuronedens, 95.0, 84.94, 0.203; GCF_012971725.1, s__Pseudomonas multiresinivorans, 95.0, 85.39, 0.209; GCF_002796985.1, s__Pseudomonas sp002796985, 95.0, 85.2, 0.196; GCF_900103845.1, s__Pseudomonas jinjuensis, 95.0, 86.16, 0.228; GCF_026072635.1, s__Pseudomonas_F solani, 95.0, 84.52, 0.173; GCF_017589465.1, s__Pseudomonas schmalbachii, 95.0, 85.6, 0.195; GCF_014204515.1, s__Pseudomonas nitritireducens_A, 95.0, 85.61, 0.22; GCF_900111835.1, s__Pseudomonas_F otitidis, 95.0, 84.47, 0.164; GCF_003205495.1, s__Pseudomonas_E alcaligenes_B, 95.0, 84.51, 0.164; GCF_029203285.1, s__Pseudomonas sp029203285, 95.0, 85.49, 0.216; GCF_000364625.1, s__Pseudomonas_E thermotolerans, 95.0, 83.77, 0.166; GCF_000313755.1, s__Pseudomonas nitroreducens_A, 95.0, 85.28, 0.202; GCF_900112375.1, s__Pseudomonas citronellolis, 95.0, 86.44, 0.26; GCF_016919445.1, s__Pseudomonas sp016919445, 95.0, 85.38, 0.199; GCF_017491605.1, s__Pseudomonas sp017491605, 95.0, 85.74, 0.207; GCF_021603645.1, s__Pseudomonas pseudonitroreducens, 95.0, 85.44, 0.206; GCF_009799925.1, s__Pseudomonas_E sp009799925, 95.0, 84.43, 0.164; GCF_008807415.1, s__Pseudomonas sp002079985, 95.0, 85.64, 0.219"					5881	5779	1065	order	0.99	0.97	0.66	0.03	0.05	0.93	0.91	FALSE	1065	1065	414	90	1	0	5401788	5401788	3417434	1188299	28263	0	1065	28263	5401788	67.25	6204	2695	7264.3	286	804	0
22	nf_core_mag_short	MEGAHIT-MetaBAT2-SRR8359173_4	bacteria_odb10	91.9	91.1	0.8	0	8.1	124	110019	110019	0.00%	58	96.38	0.13	Neural Network (Specific Model)	11	0.892	110019	311.1780386402544	4271224	0.69	4089	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	GCF_000012905.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	98.24	0.912							ani_screen	classification based on ANI only	"GCF_002407205.1, s__Cereibacter_A sp002407205, 95.0, 84.84, 0.388; GCF_003050905.1, s__Cereibacter_A azotoformans, 95.0, 87.03, 0.504; GCF_900207575.1, s__Cereibacter_A ovatus, 95.0, 82.46, 0.263; GCF_001720585.1, s__Cereibacter_A johrii, 95.0, 94.88, 0.864; GCF_003034985.1, s__Cereibacter changlensis, 95.0, 81.74, 0.208"					4127	4037	58	order	0.99	0.97	0.47	0.02	0.05	0.95	0.92	FALSE	58	58	53	49	41	32	4271224	4271224	4252702	4219771	4094899	3763294	58	336044	4271224	69.28	110019	45323	145852.8	12	34	0
23	nf_core_mag_short	MEGAHIT-MetaBAT2-SRR8359173_5	bacteria_odb10	69.4	62.9	6.5	11.3	19.3	124	6805	6805	0.00%	302	81.35	3.49	Neural Network (Specific Model)	11	0.9	6805	264.2585571353344	1670385	0.35	1899	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	GCF_000186445.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	98.91	0.857							ani_screen	classification based on ANI only						1918	1890	302	family	0.99	0.98	1	0.05	0.11	0.98	0.96	FALSE	302	302	123	34	3	0	1670385	1670385	1122050	494349	83704	0	302	28821	1670385	35.3	6805	2847	8706.7	76	225	0
24	ATLAS	SRR8359173_metabat_05	bacteria_odb10	69.3	66.1	3.2	4.8	25.9	124	6269	6269	0.00%	886	89.69	3.29	Neural Network (Specific Model)	11	0.856	6269	248.60039331366764	4425124	0.35	5085	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A pacificus	GCA_016925055.1	95.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A pacificus	97.97	0.654							ani_screen	classification based on ANI only	"GCF_000746925.1, s__Bacillus_A clarus, 95.0, 87.91, 0.405; GCA_027694045.1, s__Bacillus_A sp027694045, 95.0, 90.54, 0.576; GCF_018966865.1, s__Bacillus_A sp018966865, 95.0, 90.04, 0.61; GCF_018332515.1, s__Bacillus_A hominis, 95.0, 90.53, 0.575; GCF_000832605.1, s__Bacillus_A mycoides, 95.0, 90.04, 0.594; GCF_002567495.1, s__Bacillus_A cereus_AQ, 95.0, 91.32, 0.677; GCF_002975175.1, s__Bacillus_A sp002975175, 95.0, 89.67, 0.556; GCF_001884105.1, s__Bacillus_A luti, 95.0, 91.52, 0.663; GCF_002584985.1, s__Bacillus_A sp002584985, 95.0, 91.07, 0.603; GCF_022663335.1, s__Bacillus_A cereus_BC, 95.0, 93.71, 0.734; GCF_007678085.1, s__Bacillus_A cereus_BE, 95.0, 93.58, 0.736; GCF_006494425.1, s__Bacillus_A sp006494425, 95.0, 93.97, 0.756; GCF_002746455.1, s__Bacillus_A fungorum, 95.0, 94.03, 0.713; GCF_001884035.1, s__Bacillus_A tropicus, 95.0, 94.84, 0.771; GCF_001455345.1, s__Bacillus_A thuringiensis_N, 95.0, 94.06, 0.755; GCF_025917685.1, s__Bacillus_A cereus_AT, 95.17, 90.51, 0.625; GCF_001583695.1, s__Bacillus_A wiedmannii, 95.0, 93.53, 0.736; GCF_001884135.1, s__Bacillus_A nitratireducens, 95.0, 90.56, 0.631; GCA_002578045.1, s__Bacillus_A cereus_AK, 95.0, 89.65, 0.47; GCF_001883995.1, s__Bacillus_A paranthracis, 95.15, 95.89, 0.783; GCF_002559825.1, s__Bacillus_A thuringiensis, 96.56, 91.38, 0.705; GCF_007673305.1, s__Bacillus_A mycoides_C, 95.0, 90.04, 0.582; GCF_008923725.1, s__Bacillus_A sp008923725, 95.0, 93.37, 0.716; GCF_015071065.1, s__Bacillus_A cereus_BA, 95.0, 89.47, 0.566; GCF_014932895.1, s__Bacillus_A thuringiensis_AA, 95.0, 90.6, 0.611; GCF_018332475.1, s__Bacillus_A sanguinis, 95.0, 93.77, 0.749; GCF_001757995.1, s__Bacillus_A mycoides_B, 95.0, 89.67, 0.578; GCF_001884185.1, s__Bacillus_A albus, 95.0, 93.54, 0.733; GCF_002571225.1, s__Bacillus_A sp002571225, 95.0, 93.94, 0.757; GCF_000496285.1, s__Bacillus_A toyonensis, 95.0, 91.05, 0.644; GCF_000007825.1, s__Bacillus_A cereus, 96.65, 91.75, 0.684; GCF_002577405.1, s__Bacillus_A cereus_AU, 95.0, 90.58, 0.588; GCF_001884065.1, s__Bacillus_A proteolyticus, 95.0, 90.46, 0.619; GCF_001884235.1, s__Bacillus_A paramycoides, 95.0, 89.47, 0.554; GCF_001182785.1, s__Bacillus_A thuringiensis_AB, 96.35, 91.52, 0.691; GCF_002912215.1, s__Bacillus_A bombysepticus, 96.51, 92.21, 0.688; GCF_900094905.1, s__Bacillus_A cereus_AG, 95.0, 93.39, 0.738; GCF_003400245.1, s__Bacillus_A sp003400245, 95.0, 93.28, 0.738; GCF_001884045.1, s__Bacillus_A mobilis, 95.0, 93.51, 0.771; GCF_001595725.1, s__Bacillus_A thuringiensis_K, 95.84, 91.67, 0.692; GCF_002564555.1, s__Bacillus_A cereus_K, 95.0, 90.46, 0.574; GCF_000742895.1, s__Bacillus_A anthracis, 95.0, 94.06, 0.759; GCF_000021305.1, s__Bacillus_A thuringiensis_S, 95.0, 91.52, 0.672; GCF_018742245.1, s__Bacillus_A cereus_U, 95.0, 89.67, 0.572"					5088	4915	885	kingdom	1	0.97	0	0	0	0.92	0.89	TRUE	886	886	283	84	9	0	4425124	4425124	2696614	1345107	295107	0	886	46850	4425124	35.31	6269	2337	9232.5	197	653	0
25	ATLAS	SRR8359173_metabat_06	bacteria_odb10	89.5	88.7	0.8	1.6	8.9	124	44087	44087	0.00%	70	95.14	0.01	Neural Network (Specific Model)	11	0.87	44087	346.1645259938838	1947960	0.49	1635	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.99	0.999							ani_screen	classification based on ANI only	"GCF_000378065.1, s__Porphyromonas gulae, 95.0, 92.86, 0.807"					1594	1539	70	kingdom	1	0.97	0	0	0	0.97	0.93	TRUE	70	70	60	52	29	11	1947960	1947960	1905949	1850645	1475326	829105	70	112213	1947960	48.94	44087	14540	49661.5	15	44	0
26	ATLAS	SRR8359173_metabat_07	bacteria_odb10	96.8	96	0.8	0.8	2.4	124	116416	116416	0.00%	24	99.94	0.08	Neural Network (Specific Model)	11	0.866	116416	304.90651085141906	1894470	0.37	1797	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	GCF_006739205.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	99.17	0.956							ani_screen	classification based on ANI only	"GCF_002355215.1, s__Streptococcus troglodytae, 95.0, 94.69, 0.85"					1848	1821	24	kingdom	1	0.99	0	0	0	0.99	0.98	TRUE	24	24	20	18	16	13	1894470	1894470	1882574	1871142	1826229	1707965	24	329587	1894470	36.75	116416	54516	171110.1	5	13	0
27	ATLAS	SRR8359173_metabat_09	bacteria_odb10	99.2	99.2	0	0	0.8	124	125288	125288	0.00%	57	100	0.14	Neural Network (Specific Model)	11	0.885	125288	317.6233670199655	4361341	0.51	4057	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.91	0.877							ani_screen	classification based on ANI only	"GCF_000759775.1, s__Escherichia albertii, 95.0, 90.23, 0.67; GCF_011881725.1, s__Escherichia coli_E, 95.0, 92.47, 0.786; GCF_029876145.1, s__Escherichia ruysiae, 95.0, 92.76, 0.79; GCF_000194175.1, s__Escherichia coli_F, 95.0, 95.96, 0.913; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 93.01, 0.805; GCA_019415335.1, s__Citrobacter_A sp019415335, 95.0, 83.99, 0.277; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.1, 0.807; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.54, 0.586; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.53, 0.718; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.79, 0.799; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.99, 0.759"					4062	4056	57	genus	0.97	0.97	0.01	0.19	0.44	1	0.96	TRUE	57	57	52	50	43	29	4361341	4361341	4344650	4329424	4228631	3743817	57	284881	4361341	50.85	125288	38345	139389.4	12	34	0
28	ATLAS	SRR8359173_metabat_10	bacteria_odb10	84.7	84.7	0	0.8	14.5	124	82065	82065	0.00%	40	79.51	0.53	Neural Network (Specific Model)	11	0.834	82065	299.44713160854894	1913815	0.32	1778	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.63	0.976							ani_screen	classification based on ANI only						1812	1782	40	kingdom	1	0.98	0	0	0	0.97	0.95	TRUE	40	40	38	36	24	15	1913815	1913815	1908464	1890304	1707550	1362397	40	147283	1913815	32.11	82065	22368	78448.9	9	25	0
29	ATLAS	SRR8359173_metabat_11	bacteria_odb10	16.1	16.1	0	0	83.9	124	275545	275545	0.00%	7	15.9	0.02	Neural Network (Specific Model)	11	0.871	275545	324.68367346938777	437772	0.31	392	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.77	0.915							ani_screen	classification based on ANI only						394	373	7	kingdom	1	0.95	0	0	0	0.95	0.9	TRUE	7	7	7	5	4	2	437772	437772	437772	425635	408918	348061	7	275545	437772	30.96	275545	29966	190484.9	1	4	0
30	DATMA	round_0_b70_clameBin_1_contigs	bacteria_odb10	0	0	0	0	100	124	6594	6594	0.00%	7	6.38	0	Gradient Boost (General Model)	11	0.55	6594	151.66666666666666	19821	0.28	24	None	Unclassified																		No bacterial or archaeal marker	24	18	6	class	1	0.75	0.18	0.17	0.41	0.64	0.48	TRUE	7	5	2	0	0	0	19821	18621	13540	0	0	0	7	6946	19821	27.96	6594	1653	5102.4	2	5	0
31	DATMA	round_0_b70_clameBin_2_contigs	bacteria_odb10	0	0	0	0	100	124	27046	27046	0.00%	4	2.38	0	Neural Network (Specific Model)	11	0.77	27046	238.73469387755105	45411	0.29	49	None	Unclassified																		No bacterial or archaeal marker	49	43	4	order	1	0.88	0.06	0.05	0.1	0.75	0.65	TRUE	4	2	2	2	1	0	45411	44338	44338	44338	27046	0	4	27046	45411	28.53	27046	17292	22705.7	1	2	0
32	DATMA	round_2_b30_clameBin_2_contigs	bacteria_odb10	0	0	0	2.4	97.6	124	1031	1031	0.00%	210	5.68	0.1	Neural Network (Specific Model)	11	0.823	1031	142.08852459016393	157549	0.32	305	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.7	0.978							ani_screen	classification based on ANI only						305	299	204	kingdom	1	0.98	0	0	0	0.98	0.96	TRUE	210	55	0	0	0	0	157549	81673	0	0	0	0	210	3834	157549	31.51	1031	370	1146.4	53	153	0
33	MUFFIN	metabat_bins_1	bacteria_odb10	54.8	54.8	0	2.4	42.8	124	39792	39792	0.00%	85	64.16	1	Neural Network (Specific Model)	11	0.874	39792	286.4750204750205	2398212	0.39	2442	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	GCF_009759685.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	97.83	0.896							ani_screen	classification based on ANI only	"GCF_000369045.1, s__Acinetobacter pittii, 95.0, 89.43, 0.7; GCF_900520355.1, s__Acinetobacter calcoaceticus_C, 95.0, 87.52, 0.65; GCF_000368965.1, s__Acinetobacter calcoaceticus, 95.0, 87.61, 0.642; GCF_000399685.1, s__Acinetobacter pittii_E, 95.0, 88.42, 0.665; GCF_000368065.1, s__Acinetobacter seifertii, 95.0, 90.45, 0.737; GCF_001605885.1, s__Acinetobacter lactucae, 95.0, 88.92, 0.693; GCF_002928115.1, s__Acinetobacter pittii_H, 95.0, 89.88, 0.73; GCF_013344765.1, s__Acinetobacter lactucae_A, 95.0, 87.13, 0.627; GCF_022449185.1, s__Acinetobacter pittii_I, 95.0, 88.96, 0.694; GCA_025736915.1, s__Acinetobacter nosocomialis_A, 95.0, 91.01, 0.782; GCF_000313935.1, s__Acinetobacter sp000313935, 95.0, 88.45, 0.68; GCF_013009345.1, s__Acinetobacter geminorum, 95.0, 89.38, 0.69; GCF_000196795.1, s__Acinetobacter oleivorans, 95.0, 88.6, 0.693; GCF_003410005.1, s__Acinetobacter sp003410005, 95.0, 88.53, 0.684; GCF_000399665.1, s__Acinetobacter calcoaceticus_B, 95.0, 88.39, 0.669; GCF_000368085.1, s__Acinetobacter nosocomialis, 95.0, 91.64, 0.795; GCF_023920705.1, s__Acinetobacter sp023920705, 95.0, 88.1, 0.669; GCF_016508255.1, s__Acinetobacter calcoaceticus_E, 95.0, 87.68, 0.648; GCA_031277915.1, s__Acinetobacter sp031277915, 95.0, 89.53, 0.68"					2473	2435	85	kingdom	1	0.98	0	0	0	0.98	0.97	TRUE	85	85	82	64	34	10	2398212	2398212	2385968	2248279	1706723	790812	85	140714	2398212	38.87	39792	14714	48596.7	20	57	0
34	MUFFIN	metabat_bins_10	bacteria_odb10	5.6	5.6	0	0.8	93.6	124	155976	155976	0.00%	3	10.55	0	Neural Network (Specific Model)	11	0.879	155976	296.3627760252366	319519	0.6	317	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	GCF_003030305.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	97.59	0.907							ani_screen	classification based on ANI only						313	297	3	kingdom	1	0.95	0	0	0	0.95	0.91	TRUE	3	3	3	2	2	2	319519	319519	319519	314517	314517	314517	3	158541	319519	60.38	155976	155976	154885.3	2	2	0
35	MUFFIN	metabat_bins_11	bacteria_odb10	99.2	98.4	0.8	0.8	0	124	1330885	1330885	0.00%	4	100	0.06	Neural Network (Specific Model)	11	0.856	1330885	305.7898894154818	2030445	0.37	1899	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	GCF_006739205.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	99.08	0.952							ani_screen	classification based on ANI only	"GCF_002355215.1, s__Streptococcus troglodytae, 95.0, 94.73, 0.841"					1951	1923	4	kingdom	1	0.99	0	0	0	0.99	0.98	TRUE	4	4	4	4	3	3	2030445	2030445	2030445	2030445	2012732	2012732	4	1330885	2030445	36.81	1330885	611803	1059264.2	1	2	0
36	MUFFIN	metabat_bins_12	bacteria_odb10	99.2	98.4	0.8	0	0.8	124	145240	145240	0.00%	102	100	0.4	Neural Network (Specific Model)	11	0.808	145240	302.10892789011825	5871412	0.3	5242	None	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	GCF_018223745.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	97.41	0.823							ani_screen	classification based on ANI only	"GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 82.74, 0.192; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 92.52, 0.703; GCF_013296325.1, s__Clostridium beijerinckii_E, 95.0, 95.03, 0.733"					5380	5187	102	kingdom	1	0.96	0	0	0	0.93	0.89	TRUE	102	102	93	79	56	34	5871412	5871412	5836894	5741110	5356205	4540656	102	401773	5871412	29.69	145240	26193	158291.9	13	54	0
37	MUFFIN	metabat_bins_13	bacteria_odb10	11.3	11.3	0	0.8	87.9	124	39424	39424	0.00%	10	14.04	0.16	Neural Network (Specific Model)	11	0.907	39424	291.9011858	243775	0.39	253	None	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	GCF_900478295.1	95.25	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	96.03	0.921							ani_screen	classification based on ANI only	"GCF_006440215.1, s__Helicobacter pylori_CS, 95.22, 95.19, 0.965; GCF_009689985.1, s__Helicobacter pylori_CG, 95.0, 94.95, 0.928; GCF_003637665.1, s__Helicobacter pylori_CK, 95.0, 95.28, 0.87; GCF_003636935.1, s__Helicobacter pylori_CH, 95.0, 94.91, 0.866; GCF_001653475.1, s__Helicobacter pylori_CM, 95.0, 94.4, 0.888; GCA_000448465.1, s__Helicobacter pylori_CI, 95.06, 94.49, 0.897; GCF_000277405.1, s__Helicobacter pylori_C, 95.11, 94.83, 0.908; GCF_000476275.1, s__Helicobacter pylori_CL, 95.0, 94.88, 0.871; GCF_030323545.1, s__Helicobacter pylori_CO, 95.15, 95.19, 0.912; GCF_016755635.1, s__Helicobacter pylori_CQ, 95.23, 95.17, 0.845; GCF_030062585.1, s__Helicobacter pylori_CN, 95.04, 95.42, 0.953; GCF_003637685.1, s__Helicobacter pylori_CJ, 95.0, 94.95, 0.847; GCF_006439795.1, s__Helicobacter pylori_CR, 95.16, 95.39, 0.949; GCF_002832345.1, s__Helicobacter pylori_CP, 95.17, 95.66, 0.945; GCF_900120335.1, s__Helicobacter pylori_BU, 95.07, 94.36, 0.91"					244	240	10	kingdom	1	0.98	0	0	0	0.98	0.96	TRUE	10	10	10	8	4	1	243775	243775	243775	229216	167113	52258	10	52258	243775	38.85	39424	11130	34271.4	3	8	0
38	MUFFIN	metabat_bins_14	bacteria_odb10	61.3	61.3	0	1.6	37.1	124	1748855	1748855	0.00%	2	43.44	0	Neural Network (Specific Model)	11	0.869	1748855	315.5870173475098	1944004	0.51	1787	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.92	0.864							ani_screen	classification based on ANI only	"GCF_000026225.1, s__Escherichia fergusonii, 95.0, 93.32, 0.648; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.54, 0.758; GCF_011881725.1, s__Escherichia coli_E, 95.0, 93.04, 0.743; GCF_014836715.1, s__Escherichia whittamii, 95.0, 92.51, 0.764; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.82, 0.671; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.52, 0.698; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.83, 0.758; GCF_029876145.1, s__Escherichia ruysiae, 95.0, 93.35, 0.775; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 93.32, 0.784; GCF_000194175.1, s__Escherichia coli_F, 95.0, 95.86, 0.876"					1791	1788	2	kingdom	1	1	0	0	0	0.99	0.99	TRUE	2	2	2	2	2	2	1944004	1944004	1944004	1944004	1944004	1944004	2	1748855	1944004	51.29	1748855	195149	1592886.1	1	2	0
39	MUFFIN	metabat_bins_15	bacteria_odb10	38.7	37.9	0.8	0.8	60.5	124	74437	74437	0.00%	25	54.56	0.2	Neural Network (Specific Model)	11	0.868	74437	347.9021739130435	1104206	0.49	920	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.98	1							ani_screen	classification based on ANI only	"GCF_000378065.1, s__Porphyromonas gulae, 95.0, 92.69, 0.79"					887	861	25	family	0.99	0.96	0.03	0.02	0.05	0.98	0.94	TRUE	25	25	25	24	14	8	1104206	1104206	1104206	1094604	938689	735125	25	163909	1104206	48.9	74437	17831	78992.7	6	17	0
